품목명,연도,주차,주차_일수,주간_평균단가,금액_합,반입량_합
깐양파,2015,27,5,1442.7676767676767,7250000.0,5200.0
깐양파,2015,28,6,1491.0972469796,8800000.0,6100.0
깐양파,2015,29,6,1558.6243386243386,6240000.0,4000.0
깐양파,2015,30,6,1684.3055555555557,7490000.0,4460.0
깐양파,2015,31,5,1660.9090909090908,6600000.0,4000.0
깐양파,2015,32,6,1672.1570034946574,16395700.0,9910.0
깐양파,2015,33,6,1504.1188204125963,21725700.0,14360.0
깐양파,2015,34,6,1425.5583147903774,26126600.0,18440.0
깐양파,2015,35,6,1425.7251648569015,13923600.0,9776.0
깐양파,2015,36,6,1474.9838756829774,13016600.0,8870.0
깐양파,2015,37,6,1515.5004534509178,13600900.0,9000.0
깐양파,2015,38,6,1511.2586650821943,10412000.0,7160.0
깐양파,2015,39,5,1356.0533461103457,9972200.0,6940.0
깐양파,2015,40,4,1625.8333333333333,7260000.0,4500.0
깐양파,2015,41,6,1467.209403339266,12823400.0,8870.0
깐양파,2015,42,6,1472.5637140637139,10194100.0,6910.0
깐양파,2015,43,6,1560.0735865527276,9097100.0,5840.0
깐양파,2015,44,6,1631.5003077564654,11445600.0,7010.0
깐양파,2015,45,6,1661.5036270918624,10689500.0,6460.0
깐양파,2015,46,6,1748.313973063973,10417100.0,6000.0
깐양파,2015,47,6,1725.087706571702,10421200.0,6050.0
깐양파,2015,48,6,1780.5803963277783,9932500.0,5660.0
깐양파,2015,49,6,1986.010101010101,10921000.0,5500.0
깐양파,2015,50,6,2057.777777777778,10680000.0,5200.0
깐양파,2015,51,6,2062.56044150781,10605000.0,5150.0
깐양파,2015,52,6,2070.185185185185,10340000.0,5000.0
깐양파,2015,53,4,2010.8823529411766,8294000.0,4160.0
깐양파,2016,1,6,2071.031746031746,8680000.0,4200.0
깐양파,2016,2,6,1943.6640211640213,7260000.0,3700.0
깐양파,2016,3,6,1821.1363375552464,15604200.0,8600.0
깐양파,2016,4,6,1901.4669420434427,13860100.0,7310.0
깐양파,2016,5,6,1889.3191314316289,17205300.0,9170.0
깐양파,2016,6,2,1781.7871102327624,7717700.0,4330.0
깐양파,2016,7,6,1894.3172116571156,21111000.0,11290.0
깐양파,2016,8,7,1722.6185874312832,42280700.0,24980.0
깐양파,2016,9,6,1925.6360085903407,14776500.0,7670.0
깐양파,2016,10,6,1889.7056847536762,11060200.0,5850.0
깐양파,2016,11,6,1922.720292447426,14797200.0,7680.0
깐양파,2016,12,6,1932.1214482550556,16778300.0,8700.0
깐양파,2016,13,6,1949.0449921048948,7820000.0,4000.0
깐양파,2016,14,6,1848.023262441142,20327400.0,11060.0
깐양파,2016,15,6,1684.1387406149436,27026100.0,15810.0
깐양파,2016,16,6,1710.9611276655814,24429300.0,14600.0
깐양파,2016,17,6,1273.294352456114,16923800.0,14120.0
깐양파,2016,18,6,1182.6973951973953,6130000.0,5400.0
